Product_ID,Product_Name,Category,Sub_Category,Annual_Demand,Annual_Revenue,Order_Count,Unit_Cost
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,27,5697.76,8,211.02814814814815
TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers,15,5669.874,3,377.9916
FUR-TA-10004256,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,Furniture,Tables,17,5634.9,4,331.4647058823529
TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,17,5609.83,4,329.99
OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,Office Supplies,Storage,14,5572.792,5,398.05657142857143
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,26,5492.885,8,211.2648076923077
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,54,5436.158,14,100.6695925925926
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,Chairs,22,5427.99,4,246.72681818181815
OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,34,5398.323,11,158.77420588235296
TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones,17,5327.26,6,313.36823529411765
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,44,5294.456,10,120.32854545454546
TEC-PH-10004977,GE 30524EE4,Technology,Phones,32,5291.7300000000005,9,165.3665625
FUR-CH-10003312,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,24,5282.424,6,220.101
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,27,5212.112,7,193.0411851851852
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,27,5184.081,6,192.003
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,26,5119.744000000001,7,196.9132307692308
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables,22,5098.176,6,231.73527272727276
OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies,Appliances,16,5009.48,6,313.0925
TEC-PH-10000984,Panasonic KX-TG9471B,Technology,Phones,27,4978.146000000001,7,184.3757777777778
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,30,4952.673,9,165.0891
TEC-PH-10001363,Apple iPhone 5S,Technology,Phones,11,4901.914000000001,4,445.62854545454553
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,31,4886.46,7,157.62774193548387
TEC-CO-10004202,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,Copiers,19,4859.838,7,255.78094736842104
OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,Office Supplies,Storage,26,4829.25,7,185.7403846153846
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Office Supplies,Storage,12,4778.766,3,398.2304999999999
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,42,4770.633,9,113.5865
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,46,4704.696,10,102.276
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,18,4626.582,6,257.0323333333333
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,37,4619.987999999999,11,124.86454054054052
TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,Technology,Phones,17,4619.2300000000005,4,271.7194117647059
OFF-ST-10003306,Letter Size Cart,Office Supplies,Storage,33,4600.092,8,139.39672727272728
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,24,4544.925,5,189.371875
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,55,4509.466,11,81.99029090909092
TEC-PH-10002200,Samsung Galaxy Note 2,Technology,Phones,14,4507.902,2,321.993
OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage,33,4479.03,7,135.7281818181818
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,17,4476.96,4,263.35058823529414
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,25,4446.175,5,177.847
TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,Technology,Phones,32,4434.912,10,138.591
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,24,4420.056,7,184.169
TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,Technology,Copiers,10,4399.92,7,439.992
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,36,4389.246,8,121.9235
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,33,4384.044,7,132.84981818181816
FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Furniture,Tables,22,4334.8275,6,197.0376136363637
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,40,4332.252,8,108.3063
OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,23,4322.814,6,187.9484347826087
FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,11,4297.644,6,390.6949090909091
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,16,4268.0,2,266.75
TEC-PH-10004094,Motorola L703CM,Technology,Phones,32,4211.73,6,131.6165625
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,15,4209.799999999999,4,280.6533333333333
TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier,Technology,Copiers,16,4199.86,6,262.49125
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,35,4199.456,10,119.98445714285717
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,31,4185.48,5,135.01548387096773
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,38,4181.754,9,110.04615789473684
TEC-PH-10002496,Cisco SPA301,Technology,Phones,30,4180.532,9,139.35106666666667
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,59,4166.884,14,70.62515254237289
TEC-CO-10001943,Canon PC-428 Personal Copier,Technology,Copiers,25,4119.794,6,164.79175999999998
TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,24,4044.386,7,168.51608333333334
OFF-ST-10000046,Fellowes Super Stor/Drawer Files,Office Supplies,Storage,27,4006.44,9,148.38666666666666
TEC-PH-10000730,Samsung Galaxy S4 Active,Technology,Phones,8,3999.92,2,499.99
TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Technology,Accessories,35,3998.4,8,114.24
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,2,3991.98,1,1995.99
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,32,3989.734,7,124.6791875
TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,Technology,Phones,12,3968.51,4,330.70916666666665
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,22,3963.901,6,180.17731818181815
TEC-CO-10003236,Canon Image Class D660 Copier,Technology,Copiers,7,3959.934,2,565.7048571428571
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,32,3955.676,9,123.614875
OFF-ST-10003816,Fellowes High-Stak Drawer Files,Office Supplies,Storage,26,3946.656,8,151.79446153846155
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,23,3861.056,5,167.872
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,14,3855.18,3,275.37
TEC-PH-10002549,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,22,3839.62,6,174.52818181818182
TEC-PH-10002834,Google Nexus 5,Technology,Phones,23,3815.788,5,165.9038260869565
FUR-TA-10004619,Hon Non-Folding Utility Tables,Furniture,Tables,29,3775.647,5,130.19472413793102
TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Technology,Accessories,22,3743.792,5,170.17236363636366
FUR-TA-10001307,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,14,3739.115,5,267.07964285714286
TEC-PH-10003645,Aastra 57i VoIP phone,Technology,Phones,26,3684.708,7,141.71953846153846
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,35,3680.538,9,105.15822857142857
TEC-PH-10002415,Polycom VoiceStation 500 Conference phone,Technology,Phones,15,3657.38,5,243.82533333333333
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,64,3641.274,15,56.89490625
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,34,3626.0056,8,106.64722352941176
TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,Technology,Phones,31,3613.74,8,116.57225806451612
FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",Furniture,Tables,19,3603.288,4,189.64673684210527
TEC-PH-10001557,Pyle PMP37LED,Technology,Phones,43,3590.026,10,83.48897674418605
FUR-TA-10003392,Global Adaptabilities Conference Tables,Furniture,Tables,14,3540.348,4,252.882
OFF-ST-10003805,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,19,3537.24,4,186.17052631578943
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,Chairs,14,3528.79,6,252.05642857142857
OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,Appliances,24,3511.012,7,146.29216666666667
FUR-TA-10002645,Hon Rectangular Conference Tables,Furniture,Tables,20,3481.515,4,174.07575
FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,30,3457.442,7,115.24806666666667
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,8,3447.84,2,430.98
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,21,3420.7704,6,162.89382857142857
TEC-PH-10003505,Geemarc AmpliPOWER60,Technology,Phones,46,3415.04,11,74.24
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,5,3404.5,1,680.9
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,19,3401.6000000000004,4,179.03157894736844
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,37,3397.308,8,91.81913513513514
FUR-TA-10000688,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables,18,3354.89,6,186.38277777777776
OFF-LA-10003930,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,36,3322.878,8,92.30216666666666
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,34,3317.7235,9,97.58010294117648
FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,25,3317.0119999999997,6,132.68048
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,20,3253.2200000000003,5,162.661
OFF-BI-10004318,Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,23,3234.913,8,140.64839130434785
OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,22,3222.996,5,146.4998181818182
TEC-MA-10001972,Okidata C331dn Printer,Technology,Machines,12,3210.8,5,267.56666666666666
OFF-ST-10001097,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,20,3178.13,5,158.9065
TEC-PH-10002103,Jabra SPEAK 410,Technology,Phones,37,3158.064,9,85.35308108108107
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,35,3150.576,9,90.01645714285715
FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,Furniture,Tables,18,3140.55,4,174.47500000000002
OFF-ST-10000585,Economy Rollaway Files,Office Supplies,Storage,20,3138.8,7,156.94
TEC-PH-10003691,BlackBerry Q10,Technology,Phones,27,3099.354,6,114.79088888888889
TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,25,3059.7960000000003,5,122.39184000000002
OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,Office Supplies,Appliances,9,3051.3,3,339.03333333333336
TEC-PH-10001336,Digium D40 VoIP phone,Technology,Phones,27,3044.164,9,112.74681481481484
